Targeted Block, 4-bit, 8-bit, 12-bit, 16-bit
emb.weight,0.8716,0.8716,0.8716,0.8716,
blocks.0,0.8716,0.8716,0.8716,0.8716,
blocks.1,0.8716,0.8716,0.8716,0.8716,
blocks.2,0.8716,0.8716,0.8716,0.8716,
blocks.3,0.8716,0.8716,0.8716,0.8716,
blocks.4,0.8716,0.8716,0.8716,0.8716,
blocks.5,0.8716,0.8716,0.8716,0.8716,
blocks.6,0.8716,0.8716,0.8716,0.8716,
blocks.7,0.8716,0.8716,0.8716,0.8716,
blocks.8,0.8716,0.8716,0.8716,0.8716,
blocks.9,0.8716,0.8716,0.8716,0.8716,
blocks.10,0.8716,0.8716,0.8716,0.8716,
blocks.11,0.8716,0.8716,0.8716,0.8716,
blocks.12,0.8716,0.8716,0.8716,0.8716,
blocks.13,0.8716,0.8716,0.8716,0.8716,
blocks.14,0.8716,0.8716,0.8716,0.8716,
blocks.15,0.8716,0.8716,0.8716,0.8716,
blocks.16,0.8716,0.8716,0.8716,0.8716,
blocks.17,0.8716,0.8716,0.8716,0.8716,
ln_out.weight,0.8716,0.8716,0.8716,0.8716,
ln_out.bias,0.8716,0.8716,0.8716,0.8716,
head.weight,0.8716,0.8716,0.8716,0.8716,
