Targeted Block, 4-bit, 8-bit, 12-bit, 16-bit
emb.weight,0.6353,0.8222,0.8601,0.8647,
blocks.0,0.8670,0.8704,0.8716,0.8727,
blocks.1,0.8498,0.8658,0.8773,0.8693,
blocks.2,0.8658,0.8739,0.8784,0.8739,
blocks.3,0.8773,0.8750,0.8750,0.8750,
blocks.4,0.8670,0.8807,0.8739,0.8716,
blocks.5,0.8670,0.8750,0.8739,0.8739,
blocks.6,0.8693,0.8750,0.8739,0.8727,
blocks.7,0.8647,0.8716,0.8716,0.8716,
blocks.8,0.8693,0.8739,0.8727,0.8727,
blocks.9,0.8658,0.8739,0.8716,0.8704,
blocks.10,0.8750,0.8750,0.8716,0.8727,
blocks.11,0.8750,0.8727,0.8716,0.8716,
blocks.12,0.8704,0.8727,0.8716,0.8716,
blocks.13,0.8750,0.8739,0.8716,0.8716,
blocks.14,0.8761,0.8716,0.8716,0.8716,
blocks.15,0.8727,0.8716,0.8716,0.8716,
blocks.16,0.8727,0.8716,0.8716,0.8716,
blocks.17,0.8784,0.8727,0.8716,0.8716,
ln_out.weight,0.8739,0.8716,0.8716,0.8716,
ln_out.bias,0.8716,0.8716,0.8716,0.8716,
head.weight,0.8716,0.8716,0.8716,0.8716,
