param name	 param shape	 param type	 num of elements	 param size (bytes)
emb.weight	torch.Size([50277, 768])	torch.float32	38612736	154450944
blocks.0.ln1.weight	torch.Size([768])	torch.float32	768	3072
blocks.0.ln1.bias	torch.Size([768])	torch.float32	768	3072
blocks.0.ln2.weight	torch.Size([768])	torch.float32	768	3072
blocks.0.ln2.bias	torch.Size([768])	torch.float32	768	3072
blocks.0.ln0.weight	torch.Size([768])	torch.float32	768	3072
blocks.0.ln0.bias	torch.Size([768])	torch.float32	768	3072
blocks.0.att.time_decay	torch.Size([768])	torch.float32	768	3072
blocks.0.att.time_first	torch.Size([768])	torch.float32	768	3072
blocks.0.att.time_mix_k	torch.Size([1, 1, 768])	torch.float32	768	3072
blocks.0.att.time_mix_v	torch.Size([1, 1, 768])	torch.float32	768	3072
blocks.0.att.time_mix_r	torch.Size([1, 1, 768])	torch.float32	768	3072
blocks.0.att.key.weight	torch.Size([768, 768])	torch.float32	589824	2359296
blocks.0.att.value.weight	torch.Size([768, 768])	torch.float32	589824	2359296
blocks.0.att.receptance.weight	torch.Size([768, 768])	torch.float32	589824	2359296
blocks.0.att.output.weight	torch.Size([768, 768])	torch.float32	589824	2359296
blocks.0.ffn.time_mix_k	torch.Size([1, 1, 768])	torch.float32	768	3072
blocks.0.ffn.time_mix_r	torch.Size([1, 1, 768])	torch.float32	768	3072
blocks.0.ffn.key.weight	torch.Size([3072, 768])	torch.float32	2359296	9437184
blocks.0.ffn.receptance.weight	torch.Size([768, 768])	torch.float32	589824	2359296
blocks.0.ffn.value.weight	torch.Size([768, 3072])	torch.float32	2359296	9437184
blocks.1.ln1.weight	torch.Size([768])	torch.float32	768	3072
blocks.1.ln1.bias	torch.Size([768])	torch.float32	768	3072
blocks.1.ln2.weight	torch.Size([768])	torch.float32	768	3072
blocks.1.ln2.bias	torch.Size([768])	torch.float32	768	3072
blocks.1.att.time_decay	torch.Size([768])	torch.float32	768	3072
blocks.1.att.time_first	torch.Size([768])	torch.float32	768	3072
blocks.1.att.time_mix_k	torch.Size([1, 1, 768])	torch.float32	768	3072
blocks.1.att.time_mix_v	torch.Size([1, 1, 768])	torch.float32	768	3072
blocks.1.att.time_mix_r	torch.Size([1, 1, 768])	torch.float32	768	3072
blocks.1.att.key.weight	torch.Size([768, 768])	torch.float32	589824	2359296
blocks.1.att.value.weight	torch.Size([768, 768])	torch.float32	589824	2359296
blocks.1.att.receptance.weight	torch.Size([768, 768])	torch.float32	589824	2359296
blocks.1.att.output.weight	torch.Size([768, 768])	torch.float32	589824	2359296
blocks.1.ffn.time_mix_k	torch.Size([1, 1, 768])	torch.float32	768	3072
blocks.1.ffn.time_mix_r	torch.Size([1, 1, 768])	torch.float32	768	3072
blocks.1.ffn.key.weight	torch.Size([3072, 768])	torch.float32	2359296	9437184
blocks.1.ffn.receptance.weight	torch.Size([768, 768])	torch.float32	589824	2359296
