Epoch, 4-bit, 8-bit, 12-bit, 16-bit, 32-bit
0,0.5195,0.7856,0.8440,0.8498,0.8383,
1,0.5241,0.7638,0.8234,0.8314,0.8268,
2,0.5218,0.7626,0.8417,0.8452,0.8406,
3,0.5183,0.7913,0.8394,0.8326,0.8475,
4,0.5287,0.7752,0.8406,0.8372,0.8291,
5,0.5115,0.7741,0.8360,0.8406,0.8440,
6,0.5252,0.7626,0.8326,0.8578,0.8383,
7,0.5241,0.7810,0.8452,0.8475,0.8417,
8,0.5206,0.7821,0.8360,0.8532,0.8429,
9,0.5069,0.7844,0.8337,0.8440,0.8486,
10,0.5172,0.7615,0.8360,0.8429,0.8360,
11,0.5229,0.7764,0.8337,0.8429,0.8372,
12,0.5264,0.7798,0.8406,0.8257,0.8452,
13,0.5149,0.7706,0.8417,0.8337,0.8349,
14,0.5172,0.7810,0.8314,0.8429,0.8452,
15,0.5229,0.7775,0.8417,0.8314,0.8417,
16,0.5344,0.7661,0.8417,0.8417,0.8406,
17,0.5241,0.7764,0.8372,0.8440,0.8475,
18,0.5000,0.7764,0.8417,0.8417,0.8394,
19,0.5126,0.7741,0.8360,0.8486,0.8406,
20,0.5172,0.7729,0.8394,0.8372,0.8372,
21,0.5138,0.7592,0.8452,0.8544,0.8463,
22,0.5034,0.7546,0.8417,0.8463,0.8383,
23,0.5138,0.7683,0.8383,0.8429,0.8429,
24,0.5115,0.7580,0.8394,0.8406,0.8394,
