Epoch, 4-bit, 8-bit, 12-bit, 16-bit, 32-bit
0,0.7431,0.8429,0.8429,0.8486,0.8475,
1,0.7362,0.8521,0.8394,0.8521,0.8463,
2,0.7523,0.8486,0.8360,0.8475,0.8326,
3,0.7443,0.8372,0.8452,0.8326,0.8475,
4,0.7397,0.8394,0.8452,0.8498,0.8498,
5,0.7420,0.8417,0.8429,0.8498,0.8337,
6,0.7362,0.8475,0.8498,0.8440,0.8372,
7,0.7351,0.8429,0.8406,0.8452,0.8612,
8,0.7466,0.8268,0.8498,0.8394,0.8372,
9,0.7408,0.8372,0.8486,0.8509,0.8532,
10,0.7454,0.8417,0.8372,0.8337,0.8337,
11,0.7443,0.8383,0.8417,0.8394,0.8440,
12,0.7569,0.8429,0.8383,0.8372,0.8440,
13,0.7466,0.8509,0.8417,0.8291,0.8578,
14,0.7431,0.8463,0.8337,0.8475,0.8486,
15,0.7500,0.8463,0.8394,0.8360,0.8521,
16,0.7454,0.8498,0.8452,0.8383,0.8440,
17,0.7511,0.8463,0.8291,0.8417,0.8498,
18,0.7511,0.8429,0.8406,0.8429,0.8417,
19,0.7477,0.8509,0.8429,0.8383,0.8417,
20,0.7397,0.8475,0.8486,0.8475,0.8452,
21,0.7408,0.8544,0.8417,0.8406,0.8463,
22,0.7489,0.8440,0.8360,0.8429,0.8417,
23,0.7443,0.8486,0.8498,0.8383,0.8383,
24,0.7317,0.8440,0.8394,0.8475,0.8337,
25,0.7397,0.8532,0.8463,0.8509,0.8498,
26,0.7339,0.8463,0.8406,0.8486,0.8440,
27,0.7466,0.8349,0.8360,0.8417,0.8383,
28,0.7408,0.8486,0.8406,0.8360,0.8452,
29,0.7397,0.8452,0.8475,0.8406,0.8452,
30,0.7397,0.8406,0.8429,0.8383,0.8452,
31,0.7534,0.8417,0.8406,0.8475,0.8463,
32,0.7408,0.8521,0.8475,0.8440,0.8440,
33,0.7362,0.8475,0.8406,0.8475,0.8452,
34,0.7443,0.8417,0.8406,0.8337,0.8521,
35,0.7477,0.8440,0.8383,0.8291,0.8486,
36,0.7362,0.8532,0.8509,0.8429,0.8417,
37,0.7500,0.8498,0.8372,0.8475,0.8475,
38,0.7500,0.8498,0.8498,0.8383,0.8452,
39,0.7362,0.8498,0.8463,0.8417,0.8509,
40,0.7328,0.8429,0.8372,0.8429,0.8314,
41,0.7466,0.8498,0.8475,0.8486,0.8475,
42,0.7466,0.8463,0.8463,0.8291,0.8567,
43,0.7443,0.8440,0.8429,0.8440,0.8498,
44,0.7500,0.8463,0.8486,0.8372,0.8417,
45,0.7248,0.8452,0.8360,0.8475,0.8440,
46,0.7603,0.8486,0.8440,0.8383,0.8463,
47,0.7362,0.8429,0.8475,0.8463,0.8429,
48,0.7443,0.8337,0.8429,0.8314,0.8383,
49,0.7511,0.8394,0.8406,0.8429,0.8406,
50,0.7511,0.8372,0.8440,0.8440,0.8383,
51,0.7317,0.8440,0.8394,0.8440,0.8383,
52,0.7466,0.8417,0.8383,0.8372,0.8475,
53,0.7408,0.8475,0.8406,0.8452,0.8417,
54,0.7466,0.8406,0.8360,0.8406,0.8372,
55,0.7569,0.8417,0.8452,0.8498,0.8360,
56,0.7397,0.8406,0.8624,0.8486,0.8406,
57,0.7374,0.8475,0.8406,0.8394,0.8589,
58,0.7339,0.8326,0.8452,0.8383,0.8475,
59,0.7294,0.8406,0.8463,0.8314,0.8475,
60,0.7385,0.8440,0.8372,0.8360,0.8383,
61,0.7351,0.8429,0.8532,0.8521,0.8360,
62,0.7477,0.8452,0.8578,0.8417,0.8360,
