Targeted Block, 4-bit, 8-bit, 12-bit, 16-bit
input,0.8716,0.8716,0.8716,0.8716,
0,0.8716,0.8716,0.8716,0.8716,
1,0.8716,0.8716,0.8716,0.8716,
2,0.8716,0.8716,0.8716,0.8716,
3,0.8716,0.8716,0.8716,0.8716,
4,0.8716,0.8716,0.8716,0.8716,
5,0.8716,0.8716,0.8716,0.8716,
6,0.8716,0.8716,0.8716,0.8716,
7,0.8716,0.8716,0.8716,0.8716,
8,0.8716,0.8716,0.8716,0.8716,
9,0.8716,0.8716,0.8716,0.8716,
10,0.8716,0.8716,0.8716,0.8716,
11,0.8716,0.8716,0.8716,0.8716,
12,0.8716,0.8716,0.8716,0.8716,
13,0.8716,0.8716,0.8716,0.8716,
14,0.8716,0.8716,0.8716,0.8716,
15,0.8716,0.8716,0.8716,0.8716,
16,0.8716,0.8716,0.8716,0.8716,
17,0.8716,0.8716,0.8716,0.8716,
output,0.8716,0.8716,0.8716,0.8716,
