Targeted Block, 4-bit, 8-bit, 12-bit, 16-bit
input,0.6135,0.8257,0.8601,0.8716,
0,0.8578,0.8681,0.8670,0.8773,
1,0.8601,0.8635,0.8784,0.8704,
2,0.8658,0.8739,0.8784,0.8739,
3,0.8773,0.8750,0.8750,0.8750,
4,0.8670,0.8807,0.8739,0.8716,
5,0.8670,0.8750,0.8739,0.8739,
6,0.8693,0.8750,0.8739,0.8727,
7,0.8647,0.8716,0.8716,0.8716,
8,0.8693,0.8739,0.8727,0.8727,
9,0.8658,0.8739,0.8716,0.8704,
10,0.8750,0.8750,0.8716,0.8727,
11,0.8750,0.8727,0.8716,0.8716,
12,0.8704,0.8727,0.8716,0.8716,
13,0.8750,0.8739,0.8716,0.8716,
14,0.8761,0.8716,0.8716,0.8716,
15,0.8727,0.8716,0.8716,0.8716,
16,0.8727,0.8716,0.8716,0.8716,
17,0.8784,0.8727,0.8716,0.8716,
output,0.8727,0.8716,0.8716,0.8716,
