block,sub block,sub module,param name
input,Embedding,Embedding-linear,emb.weight
input,ExtLayerNorm0,ExtLayerNorm0-linear,blocks.0.ln0.weight
input,ExtLayerNorm0,ExtLayerNorm0-bias,blocks.0.ln0.bias
0,LayerNorm0,LayerNorm0-linear,blocks.0.ln1.weight
0,LayerNorm0,LayerNorm0-bias,blocks.0.ln1.bias
0,LayerNorm0,LayerNorm0-linear,blocks.0.ln2.weight
0,LayerNorm0,LayerNorm0-bias,blocks.0.ln2.bias
0,RWKV-0,RWKV-0-nonlinear,blocks.0.att.time_decay
0,RWKV-0,RWKV-0-nonlinear,blocks.0.att.time_first
0,RWKV-0,RWKV-0-nonlinear,blocks.0.att.time_mix_k
0,RWKV-0,RWKV-0-nonlinear,blocks.0.att.time_mix_v
0,RWKV-0,RWKV-0-nonlinear,blocks.0.att.time_mix_r
0,RWKV-0,RWKV-0-linear,blocks.0.att.key.weight
0,RWKV-0,RWKV-0-linear,blocks.0.att.value.weight
0,RWKV-0,RWKV-0-linear,blocks.0.att.receptance.weight
0,RWKV-0,RWKV-0-linear,blocks.0.att.output.weight
0,RFFN-0,RFFN-0-nonlinear,blocks.0.ffn.time_mix_k
0,RFFN-0,RFFN-0-nonlinear,blocks.0.ffn.time_mix_r
0,RFFN-0,RFFN-0-linear,blocks.0.ffn.key.weight
0,RFFN-0,RFFN-0-linear,blocks.0.ffn.receptance.weight
0,RFFN-0,RFFN-0-linear,blocks.0.ffn.value.weight
1,LayerNorm1,LayerNorm1-linear,blocks.1.ln1.weight
1,LayerNorm1,LayerNorm1-bias,blocks.1.ln1.bias
1,LayerNorm1,LayerNorm1-linear,blocks.1.ln2.weight
1,LayerNorm1,LayerNorm1-bias,blocks.1.ln2.bias
1,RWKV-1,RWKV-1-nonlinear,blocks.1.att.time_decay
1,RWKV-1,RWKV-1-nonlinear,blocks.1.att.time_first
1,RWKV-1,RWKV-1-nonlinear,blocks.1.att.time_mix_k
1,RWKV-1,RWKV-1-nonlinear,blocks.1.att.time_mix_v
1,RWKV-1,RWKV-1-nonlinear,blocks.1.att.time_mix_r
1,RWKV-1,RWKV-1-linear,blocks.1.att.key.weight
1,RWKV-1,RWKV-1-linear,blocks.1.att.value.weight
1,RWKV-1,RWKV-1-linear,blocks.1.att.receptance.weight
1,RWKV-1,RWKV-1-linear,blocks.1.att.output.weight
1,RFFN-1,RFFN-1-nonlinear,blocks.1.ffn.time_mix_k
1,RFFN-1,RFFN-1-nonlinear,blocks.1.ffn.time_mix_r
1,RFFN-1,RFFN-1-linear,blocks.1.ffn.key.weight
1,RFFN-1,RFFN-1-linear,blocks.1.ffn.receptance.weight
1,RFFN-1,RFFN-1-linear,blocks.1.ffn.value.weight
2,LayerNorm2,LayerNorm2-linear,blocks.2.ln1.weight
2,LayerNorm2,LayerNorm2-bias,blocks.2.ln1.bias
2,LayerNorm2,LayerNorm2-linear,blocks.2.ln2.weight
2,LayerNorm2,LayerNorm2-bias,blocks.2.ln2.bias
2,RWKV-2,RWKV-2-nonlinear,blocks.2.att.time_decay
2,RWKV-2,RWKV-2-nonlinear,blocks.2.att.time_first
2,RWKV-2,RWKV-2-nonlinear,blocks.2.att.time_mix_k
2,RWKV-2,RWKV-2-nonlinear,blocks.2.att.time_mix_v
2,RWKV-2,RWKV-2-nonlinear,blocks.2.att.time_mix_r
2,RWKV-2,RWKV-2-linear,blocks.2.att.key.weight
2,RWKV-2,RWKV-2-linear,blocks.2.att.value.weight
2,RWKV-2,RWKV-2-linear,blocks.2.att.receptance.weight
2,RWKV-2,RWKV-2-linear,blocks.2.att.output.weight
2,RFFN-2,RFFN-2-nonlinear,blocks.2.ffn.time_mix_k
2,RFFN-2,RFFN-2-nonlinear,blocks.2.ffn.time_mix_r
2,RFFN-2,RFFN-2-linear,blocks.2.ffn.key.weight
2,RFFN-2,RFFN-2-linear,blocks.2.ffn.receptance.weight
2,RFFN-2,RFFN-2-linear,blocks.2.ffn.value.weight
3,LayerNorm3,LayerNorm3-linear,blocks.3.ln1.weight
3,LayerNorm3,LayerNorm3-bias,blocks.3.ln1.bias
3,LayerNorm3,LayerNorm3-linear,blocks.3.ln2.weight
3,LayerNorm3,LayerNorm3-bias,blocks.3.ln2.bias
3,RWKV-3,RWKV-3-nonlinear,blocks.3.att.time_decay
3,RWKV-3,RWKV-3-nonlinear,blocks.3.att.time_first
3,RWKV-3,RWKV-3-nonlinear,blocks.3.att.time_mix_k
3,RWKV-3,RWKV-3-nonlinear,blocks.3.att.time_mix_v
3,RWKV-3,RWKV-3-nonlinear,blocks.3.att.time_mix_r
3,RWKV-3,RWKV-3-linear,blocks.3.att.key.weight
3,RWKV-3,RWKV-3-linear,blocks.3.att.value.weight
3,RWKV-3,RWKV-3-linear,blocks.3.att.receptance.weight
3,RWKV-3,RWKV-3-linear,blocks.3.att.output.weight
3,RFFN-3,RFFN-3-nonlinear,blocks.3.ffn.time_mix_k
3,RFFN-3,RFFN-3-nonlinear,blocks.3.ffn.time_mix_r
3,RFFN-3,RFFN-3-linear,blocks.3.ffn.key.weight
3,RFFN-3,RFFN-3-linear,blocks.3.ffn.receptance.weight
3,RFFN-3,RFFN-3-linear,blocks.3.ffn.value.weight
4,LayerNorm4,LayerNorm4-linear,blocks.4.ln1.weight
4,LayerNorm4,LayerNorm4-bias,blocks.4.ln1.bias
4,LayerNorm4,LayerNorm4-linear,blocks.4.ln2.weight
4,LayerNorm4,LayerNorm4-bias,blocks.4.ln2.bias
4,RWKV-4,RWKV-4-nonlinear,blocks.4.att.time_decay
4,RWKV-4,RWKV-4-nonlinear,blocks.4.att.time_first
4,RWKV-4,RWKV-4-nonlinear,blocks.4.att.time_mix_k
4,RWKV-4,RWKV-4-nonlinear,blocks.4.att.time_mix_v
4,RWKV-4,RWKV-4-nonlinear,blocks.4.att.time_mix_r
4,RWKV-4,RWKV-4-linear,blocks.4.att.key.weight
4,RWKV-4,RWKV-4-linear,blocks.4.att.value.weight
4,RWKV-4,RWKV-4-linear,blocks.4.att.receptance.weight
4,RWKV-4,RWKV-4-linear,blocks.4.att.output.weight
4,RFFN-4,RFFN-4-nonlinear,blocks.4.ffn.time_mix_k
4,RFFN-4,RFFN-4-nonlinear,blocks.4.ffn.time_mix_r
4,RFFN-4,RFFN-4-linear,blocks.4.ffn.key.weight
4,RFFN-4,RFFN-4-linear,blocks.4.ffn.receptance.weight
4,RFFN-4,RFFN-4-linear,blocks.4.ffn.value.weight
5,LayerNorm5,LayerNorm5-linear,blocks.5.ln1.weight
5,LayerNorm5,LayerNorm5-bias,blocks.5.ln1.bias
5,LayerNorm5,LayerNorm5-linear,blocks.5.ln2.weight
5,LayerNorm5,LayerNorm5-bias,blocks.5.ln2.bias
5,RWKV-5,RWKV-5-nonlinear,blocks.5.att.time_decay
5,RWKV-5,RWKV-5-nonlinear,blocks.5.att.time_first
5,RWKV-5,RWKV-5-nonlinear,blocks.5.att.time_mix_k
5,RWKV-5,RWKV-5-nonlinear,blocks.5.att.time_mix_v
5,RWKV-5,RWKV-5-nonlinear,blocks.5.att.time_mix_r
5,RWKV-5,RWKV-5-linear,blocks.5.att.key.weight
5,RWKV-5,RWKV-5-linear,blocks.5.att.value.weight
5,RWKV-5,RWKV-5-linear,blocks.5.att.receptance.weight
5,RWKV-5,RWKV-5-linear,blocks.5.att.output.weight
5,RFFN-5,RFFN-5-nonlinear,blocks.5.ffn.time_mix_k
5,RFFN-5,RFFN-5-nonlinear,blocks.5.ffn.time_mix_r
5,RFFN-5,RFFN-5-linear,blocks.5.ffn.key.weight
5,RFFN-5,RFFN-5-linear,blocks.5.ffn.receptance.weight
5,RFFN-5,RFFN-5-linear,blocks.5.ffn.value.weight
