Targeted Sub Block, 4-bit, 8-bit, 12-bit, 16-bit
Embedding,0.8716,0.8716,0.8716,0.8716,
ExtLayerNorm0,0.8716,0.8716,0.8716,0.8716,
LayerNorm0,0.8716,0.8716,0.8716,0.8716,
RWKV-0,0.8716,0.8716,0.8716,0.8716,
RFFN-0,0.8716,0.8716,0.8716,0.8716,
LayerNorm1,0.8716,0.8716,0.8716,0.8716,
RWKV-1,0.8716,0.8716,0.8716,0.8716,
RFFN-1,0.8716,0.8716,0.8716,0.8716,
LayerNorm2,0.8716,0.8716,0.8716,0.8716,
RWKV-2,0.8716,0.8716,0.8716,0.8716,
RFFN-2,0.8716,0.8716,0.8716,0.8716,
LayerNorm3,0.8716,0.8716,0.8716,0.8716,
RWKV-3,0.8716,0.8716,0.8716,0.8716,
RFFN-3,0.8716,0.8716,0.8716,0.8716,
LayerNorm4,0.8716,0.8716,0.8716,0.8716,
RWKV-4,0.8716,0.8716,0.8716,0.8716,
RFFN-4,0.8716,0.8716,0.8716,0.8716,
LayerNorm5,0.8716,0.8716,0.8716,0.8716,
RWKV-5,0.8716,0.8716,0.8716,0.8716,
RFFN-5,0.8716,0.8716,0.8716,0.8716,
LayerNorm6,0.8716,0.8716,0.8716,0.8716,
RWKV-6,0.8716,0.8716,0.8716,0.8716,
RFFN-6,0.8716,0.8716,0.8716,0.8716,
LayerNorm7,0.8716,0.8716,0.8716,0.8716,
RWKV-7,0.8716,0.8716,0.8716,0.8716,
RFFN-7,0.8716,0.8716,0.8716,0.8716,
LayerNorm8,0.8716,0.8716,0.8716,0.8716,
RWKV-8,0.8716,0.8716,0.8716,0.8716,
RFFN-8,0.8716,0.8716,0.8716,0.8716,
LayerNorm9,0.8716,0.8716,0.8716,0.8716,
RWKV-9,0.8716,0.8716,0.8716,0.8716,
RFFN-9,0.8716,0.8716,0.8716,0.8716,
LayerNorm10,0.8716,0.8716,0.8716,0.8716,
RWKV-10,0.8716,0.8716,0.8716,0.8716,
RFFN-10,0.8716,0.8716,0.8716,0.8716,
LayerNorm11,0.8716,0.8716,0.8716,0.8716,
RWKV-11,0.8716,0.8716,0.8716,0.8716,
RFFN-11,0.8716,0.8716,0.8716,0.8716,
LayerNorm12,0.8716,0.8716,0.8716,0.8716,
RWKV-12,0.8716,0.8716,0.8716,0.8716,
RFFN-12,0.8716,0.8716,0.8716,0.8716,
LayerNorm13,0.8716,0.8716,0.8716,0.8716,
RWKV-13,0.8716,0.8716,0.8716,0.8716,
RFFN-13,0.8716,0.8716,0.8716,0.8716,
LayerNorm14,0.8716,0.8716,0.8716,0.8716,
RWKV-14,0.8716,0.8716,0.8716,0.8716,
RFFN-14,0.8716,0.8716,0.8716,0.8716,
LayerNorm15,0.8716,0.8716,0.8716,0.8716,
RWKV-15,0.8716,0.8716,0.8716,0.8716,
RFFN-15,0.8716,0.8716,0.8716,0.8716,
LayerNorm16,0.8716,0.8716,0.8716,0.8716,
RWKV-16,0.8716,0.8716,0.8716,0.8716,
RFFN-16,0.8716,0.8716,0.8716,0.8716,
LayerNorm17,0.8716,0.8716,0.8716,0.8716,
RWKV-17,0.8716,0.8716,0.8716,0.8716,
RFFN-17,0.8716,0.8716,0.8716,0.8716,
ExtLayerNorm1,0.8716,0.8716,0.8716,0.8716,
Head,0.8716,0.8716,0.8716,0.8716,
Classifier,0.8716,0.8716,0.8716,0.8716,
