Targeted Sub Block, 4-bit, 8-bit, 12-bit, 16-bit
Embedding,0.6353,0.8222,0.8601,0.8647,
ExtLayerNorm0,0.8704,0.8761,0.8727,0.8727,
LayerNorm0,0.8624,0.8739,0.8750,0.8739,
RWKV-0,0.8624,0.8693,0.8750,0.8750,
RFFN-0,0.8647,0.8739,0.8750,0.8693,
LayerNorm1,0.8773,0.8727,0.8704,0.8750,
RWKV-1,0.8612,0.8716,0.8739,0.8739,
RFFN-1,0.8727,0.8750,0.8784,0.8716,
LayerNorm2,0.8727,0.8739,0.8727,0.8750,
RWKV-2,0.8624,0.8750,0.8773,0.8739,
RFFN-2,0.8739,0.8727,0.8716,0.8716,
LayerNorm3,0.8727,0.8727,0.8727,0.8727,
RWKV-3,0.8761,0.8727,0.8761,0.8727,
RFFN-3,0.8716,0.8739,0.8784,0.8727,
LayerNorm4,0.8773,0.8693,0.8716,0.8716,
RWKV-4,0.8681,0.8750,0.8750,0.8716,
RFFN-4,0.8670,0.8784,0.8727,0.8716,
LayerNorm5,0.8739,0.8727,0.8727,0.8704,
RWKV-5,0.8750,0.8750,0.8704,0.8716,
RFFN-5,0.8727,0.8739,0.8739,0.8727,
LayerNorm6,0.8716,0.8727,0.8727,0.8704,
RWKV-6,0.8693,0.8761,0.8716,0.8727,
RFFN-6,0.8750,0.8739,0.8727,0.8716,
LayerNorm7,0.8727,0.8727,0.8716,0.8716,
RWKV-7,0.8716,0.8716,0.8727,0.8716,
RFFN-7,0.8727,0.8716,0.8727,0.8716,
LayerNorm8,0.8716,0.8727,0.8739,0.8727,
RWKV-8,0.8716,0.8704,0.8727,0.8727,
RFFN-8,0.8739,0.8704,0.8727,0.8739,
LayerNorm9,0.8716,0.8727,0.8716,0.8716,
RWKV-9,0.8693,0.8739,0.8727,0.8727,
RFFN-9,0.8704,0.8727,0.8727,0.8727,
LayerNorm10,0.8693,0.8739,0.8727,0.8716,
RWKV-10,0.8750,0.8727,0.8727,0.8716,
RFFN-10,0.8727,0.8716,0.8716,0.8704,
LayerNorm11,0.8739,0.8727,0.8716,0.8716,
RWKV-11,0.8784,0.8716,0.8716,0.8716,
RFFN-11,0.8693,0.8727,0.8739,0.8716,
LayerNorm12,0.8716,0.8716,0.8716,0.8716,
RWKV-12,0.8739,0.8727,0.8716,0.8716,
RFFN-12,0.8739,0.8716,0.8716,0.8716,
LayerNorm13,0.8716,0.8739,0.8716,0.8716,
RWKV-13,0.8761,0.8716,0.8716,0.8716,
RFFN-13,0.8716,0.8739,0.8727,0.8716,
LayerNorm14,0.8704,0.8716,0.8716,0.8716,
RWKV-14,0.8750,0.8716,0.8716,0.8716,
RFFN-14,0.8761,0.8727,0.8716,0.8716,
LayerNorm15,0.8716,0.8716,0.8716,0.8716,
RWKV-15,0.8739,0.8716,0.8716,0.8716,
RFFN-15,0.8727,0.8716,0.8716,0.8716,
LayerNorm16,0.8727,0.8716,0.8716,0.8716,
RWKV-16,0.8761,0.8716,0.8716,0.8716,
RFFN-16,0.8773,0.8716,0.8716,0.8716,
LayerNorm17,0.8727,0.8716,0.8716,0.8716,
RWKV-17,0.8739,0.8750,0.8716,0.8716,
RFFN-17,0.8761,0.8727,0.8716,0.8716,
ExtLayerNorm1,0.8750,0.8716,0.8716,0.8716,
Head,0.8716,0.8716,0.8716,0.8716,
Classifier,0.8727,0.8716,0.8716,0.8716,
