Targeted Sub Module, 4-bit, 8-bit, 12-bit, 16-bit
Embedding-linear,0.8716,0.8716,0.8716,0.8716,
ExtLayerNorm0-linear,0.8716,0.8716,0.8716,0.8716,
ExtLayerNorm0-bias,0.8716,0.8716,0.8716,0.8716,
LayerNorm0-linear,0.8716,0.8716,0.8716,0.8716,
LayerNorm0-bias,0.8716,0.8716,0.8716,0.8716,
RWKV-0-nonlinear,0.8716,0.8716,0.8716,0.8716,
RWKV-0-linear,0.8716,0.8716,0.8716,0.8716,
RFFN-0-nonlinear,0.8716,0.8716,0.8716,0.8716,
RFFN-0-linear,0.8716,0.8716,0.8716,0.8716,
LayerNorm1-linear,0.8716,0.8716,0.8716,0.8716,
LayerNorm1-bias,0.8716,0.8716,0.8716,0.8716,
RWKV-1-nonlinear,0.8716,0.8716,0.8716,0.8716,
RWKV-1-linear,0.8716,0.8716,0.8716,0.8716,
RFFN-1-nonlinear,0.8716,0.8716,0.8716,0.8716,
RFFN-1-linear,0.8716,0.8716,0.8716,0.8716,
LayerNorm2-linear,0.8716,0.8716,0.8716,0.8716,
LayerNorm2-bias,0.8716,0.8716,0.8716,0.8716,
RWKV-2-nonlinear,0.8716,0.8716,0.8716,0.8716,
RWKV-2-linear,0.8716,0.8716,0.8716,0.8716,
RFFN-2-nonlinear,0.8716,0.8716,0.8716,0.8716,
RFFN-2-linear,0.8716,0.8716,0.8716,0.8716,
LayerNorm3-linear,0.8716,0.8716,0.8716,0.8716,
LayerNorm3-bias,0.8716,0.8716,0.8716,0.8716,
RWKV-3-nonlinear,0.8716,0.8716,0.8716,0.8716,
RWKV-3-linear,0.8716,0.8716,0.8716,0.8716,
RFFN-3-nonlinear,0.8716,0.8716,0.8716,0.8716,
RFFN-3-linear,0.8716,0.8716,0.8716,0.8716,
LayerNorm4-linear,0.8716,0.8716,0.8716,0.8716,
LayerNorm4-bias,0.8716,0.8716,0.8716,0.8716,
RWKV-4-nonlinear,0.8716,0.8716,0.8716,0.8716,
RWKV-4-linear,0.8716,0.8716,0.8716,0.8716,
RFFN-4-nonlinear,0.8716,0.8716,0.8716,0.8716,
RFFN-4-linear,0.8716,0.8716,0.8716,0.8716,
LayerNorm5-linear,0.8716,0.8716,0.8716,0.8716,
LayerNorm5-bias,0.8716,0.8716,0.8716,0.8716,
RWKV-5-nonlinear,0.8716,0.8716,0.8716,0.8716,
RWKV-5-linear,0.8716,0.8716,0.8716,0.8716,
RFFN-5-nonlinear,0.8716,0.8716,0.8716,0.8716,
RFFN-5-linear,0.8716,0.8716,0.8716,0.8716,
LayerNorm6-linear,0.8716,0.8716,0.8716,0.8716,
LayerNorm6-bias,0.8716,0.8716,0.8716,0.8716,
RWKV-6-nonlinear,0.8716,0.8716,0.8716,0.8716,
RWKV-6-linear,0.8716,0.8716,0.8716,0.8716,
RFFN-6-nonlinear,0.8716,0.8716,0.8716,0.8716,
RFFN-6-linear,0.8716,0.8716,0.8716,0.8716,
LayerNorm7-linear,0.8716,0.8716,0.8716,0.8716,
LayerNorm7-bias,0.8716,0.8716,0.8716,0.8716,
RWKV-7-nonlinear,0.8716,0.8716,0.8716,0.8716,
RWKV-7-linear,0.8716,0.8716,0.8716,0.8716,
RFFN-7-nonlinear,0.8716,0.8716,0.8716,0.8716,
RFFN-7-linear,0.8716,0.8716,0.8716,0.8716,
LayerNorm8-linear,0.8716,0.8716,0.8716,0.8716,
LayerNorm8-bias,0.8716,0.8716,0.8716,0.8716,
RWKV-8-nonlinear,0.8716,0.8716,0.8716,0.8716,
RWKV-8-linear,0.8716,0.8716,0.8716,0.8716,
RFFN-8-nonlinear,0.8716,0.8716,0.8716,0.8716,
RFFN-8-linear,0.8716,0.8716,0.8716,0.8716,
LayerNorm9-linear,0.8716,0.8716,0.8716,0.8716,
LayerNorm9-bias,0.8716,0.8716,0.8716,0.8716,
RWKV-9-nonlinear,0.8716,0.8716,0.8716,0.8716,
RWKV-9-linear,0.8716,0.8716,0.8716,0.8716,
RFFN-9-nonlinear,0.8716,0.8716,0.8716,0.8716,
RFFN-9-linear,0.8716,0.8716,0.8716,0.8716,
LayerNorm10-linear,0.8716,0.8716,0.8716,0.8716,
LayerNorm10-bias,0.8716,0.8716,0.8716,0.8716,
RWKV-10-nonlinear,0.8716,0.8716,0.8716,0.8716,
RWKV-10-linear,0.8716,0.8716,0.8716,0.8716,
RFFN-10-nonlinear,0.8716,0.8716,0.8716,0.8716,
RFFN-10-linear,0.8716,0.8716,0.8716,0.8716,
LayerNorm11-linear,0.8716,0.8716,0.8716,0.8716,
LayerNorm11-bias,0.8716,0.8716,0.8716,0.8716,
RWKV-11-nonlinear,0.8716,0.8716,0.8716,0.8716,
RWKV-11-linear,0.8716,0.8716,0.8716,0.8716,
RFFN-11-nonlinear,0.8716,0.8716,0.8716,0.8716,
RFFN-11-linear,0.8716,0.8716,0.8716,0.8716,
LayerNorm12-linear,0.8716,0.8716,0.8716,0.8716,
LayerNorm12-bias,0.8716,0.8716,0.8716,0.8716,
RWKV-12-nonlinear,0.8716,0.8716,0.8716,0.8716,
RWKV-12-linear,0.8716,0.8716,0.8716,0.8716,
RFFN-12-nonlinear,0.8716,0.8716,0.8716,0.8716,
RFFN-12-linear,0.8716,0.8716,0.8716,0.8716,
LayerNorm13-linear,0.8716,0.8716,0.8716,0.8716,
LayerNorm13-bias,0.8716,0.8716,0.8716,0.8716,
RWKV-13-nonlinear,0.8716,0.8716,0.8716,0.8716,
RWKV-13-linear,0.8716,0.8716,0.8716,0.8716,
RFFN-13-nonlinear,0.8716,0.8716,0.8716,0.8716,
RFFN-13-linear,0.8716,0.8716,0.8716,0.8716,
LayerNorm14-linear,0.8716,0.8716,0.8716,0.8716,
LayerNorm14-bias,0.8716,0.8716,0.8716,0.8716,
RWKV-14-nonlinear,0.8716,0.8716,0.8716,0.8716,
RWKV-14-linear,0.8716,0.8716,0.8716,0.8716,
RFFN-14-nonlinear,0.8716,0.8716,0.8716,0.8716,
RFFN-14-linear,0.8716,0.8716,0.8716,0.8716,
LayerNorm15-linear,0.8716,0.8716,0.8716,0.8716,
LayerNorm15-bias,0.8716,0.8716,0.8716,0.8716,
RWKV-15-nonlinear,0.8716,0.8716,0.8716,0.8716,
RWKV-15-linear,0.8716,0.8716,0.8716,0.8716,
RFFN-15-nonlinear,0.8716,0.8716,0.8716,0.8716,
RFFN-15-linear,0.8716,0.8716,0.8716,0.8716,
LayerNorm16-linear,0.8716,0.8716,0.8716,0.8716,
LayerNorm16-bias,0.8716,0.8716,0.8716,0.8716,
RWKV-16-nonlinear,0.8716,0.8716,0.8716,0.8716,
RWKV-16-linear,0.8716,0.8716,0.8716,0.8716,
RFFN-16-nonlinear,0.8716,0.8716,0.8716,0.8716,
RFFN-16-linear,0.8716,0.8716,0.8716,0.8716,
LayerNorm17-linear,0.8716,0.8716,0.8716,0.8716,
LayerNorm17-bias,0.8716,0.8716,0.8716,0.8716,
RWKV-17-nonlinear,0.8716,0.8716,0.8716,0.8716,
RWKV-17-linear,0.8716,0.8716,0.8716,0.8716,
RFFN-17-nonlinear,0.8716,0.8716,0.8716,0.8716,
RFFN-17-linear,0.8716,0.8716,0.8716,0.8716,
ExtLayerNorm1-linear,0.8716,0.8716,0.8716,0.8716,
ExtLayerNorm1-bias,0.8716,0.8716,0.8716,0.8716,
Head-linear,0.8716,0.8716,0.8716,0.8716,
Classifier-linear,0.8716,0.8716,0.8716,0.8716,
