Targeted Sub Module, 4-bit, 8-bit, 12-bit, 16-bit
Embedding-linear,0.6353,0.8222,0.8601,0.8647,
ExtLayerNorm0-linear,0.8693,0.8750,0.8647,0.8761,
ExtLayerNorm0-bias,0.8727,0.8716,0.8739,0.8716,
LayerNorm0-linear,0.8750,0.8761,0.8716,0.8681,
LayerNorm0-bias,0.8693,0.8750,0.8750,0.8716,
RWKV-0-nonlinear,0.8773,0.8704,0.8739,0.8716,
RWKV-0-linear,0.8670,0.8670,0.8704,0.8704,
RFFN-0-nonlinear,0.8750,0.8739,0.8716,0.8727,
RFFN-0-linear,0.8624,0.8750,0.8727,0.8739,
LayerNorm1-linear,0.8693,0.8716,0.8773,0.8704,
LayerNorm1-bias,0.8727,0.8658,0.8773,0.8750,
RWKV-1-nonlinear,0.8681,0.8693,0.8739,0.8727,
RWKV-1-linear,0.8670,0.8761,0.8750,0.8727,
RFFN-1-nonlinear,0.8773,0.8750,0.8727,0.8716,
RFFN-1-linear,0.8693,0.8739,0.8761,0.8716,
LayerNorm2-linear,0.8761,0.8750,0.8750,0.8739,
LayerNorm2-bias,0.8716,0.8761,0.8716,0.8761,
RWKV-2-nonlinear,0.8727,0.8761,0.8750,0.8716,
RWKV-2-linear,0.8670,0.8750,0.8727,0.8716,
RFFN-2-nonlinear,0.8727,0.8693,0.8704,0.8716,
RFFN-2-linear,0.8761,0.8693,0.8739,0.8727,
LayerNorm3-linear,0.8716,0.8739,0.8727,0.8727,
LayerNorm3-bias,0.8773,0.8704,0.8739,0.8727,
RWKV-3-nonlinear,0.8716,0.8716,0.8727,0.8727,
RWKV-3-linear,0.8796,0.8739,0.8739,0.8727,
RFFN-3-nonlinear,0.8681,0.8750,0.8727,0.8716,
RFFN-3-linear,0.8681,0.8739,0.8773,0.8739,
LayerNorm4-linear,0.8727,0.8739,0.8716,0.8727,
LayerNorm4-bias,0.8739,0.8727,0.8727,0.8716,
RWKV-4-nonlinear,0.8727,0.8761,0.8727,0.8716,
